,1_Movie,AudienceAverageRating,AudienceScore,BoxOffice,Cast,CriticAverageRating,CriticNegativeReviewsCount,CriticPositiveReviewsCount,CriticScore,DirectedBy,Genre,Genre_Action&Adventure,Genre_Animation,Genre_Anime&Manga,Genre_ArtHouse&International,Genre_Classics,Genre_Comedy,Genre_CultMovies,Genre_Documentary,Genre_Drama,Genre_Faith&Spirituality,Genre_Gay&Lesbian,Genre_Horror,Genre_Kids&Family,Genre_Musical&PerformingArts,Genre_Mystery&Suspense,Genre_Romance,Genre_ScienceFiction&Fantasy,Genre_SpecialInterest,Genre_Sports&Fitness,Genre_Television,Genre_Western,InTheaters,OnDisc/Streaming,Rating,Rating_G,Rating_NC17,Rating_NR,Rating_PG,Rating_PG-13,Rating_R,Runtime,Studio,WrittenBy
0,"1,000 Times Good Night",3.6,65%,"$53,025",Juliette Binoche|Nikolaj Coster-Waldau|Lauryn Canny|Chlo Annett|Adrianna Cramer Curtis|Bush Moukarzel|Eve Macklin|Mads Ousdal|Maria Doyle Kennedy|Larry Mullen Jr.|Des Nealon|Jonathan Byrne|Najat Azgar|Zoubida Afik|Jameela Shafaq|Omar Elmouden|Caitriona Nimhurchu|Stephen Mullan|Carl Shaaban|Peter Sexton|Denise McCormack|Anna Leah Thorseth Poppe,6,15,37,71%,Erik Poppe,Drama,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Oct24,2014 limited","Feb 2, 2015",NR,0,0,1,0,0,0,117 minutes,Film Movement,Harald Rosenlw-Eeg
1,100 Bloody Acres,3.1,47%,"$53,025",Damon Herriman|Angus Sampson|Anna McGahan|Oliver Ackland|Jamie Kristian|John Jarratt|Chrissie Page|Paul Blackwell|Iain Herridge|Ward Everaardt|Reg the Dog,6.5,6,29,83%,"Colin Cairnes, Cameron Cairnes","Comedy,Horror",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Jun28,2013 limited","Oct 1, 2013",NR,0,0,1,0,0,0,91 minutes,Doppelganger Releasing,"Colin Cairnes, Cameron Cairnes"
2,1001 Grams,3,47%,"$53,025",Ane Dahl Torp|Laurent Stocker|Stein Winge|Hildegun Riise|Per Christian Ellefsen|Peter Hudson|Didier Flamand|Dinara Drukarova|Torsten Knippertz|Daniel Drewes|Joseph Rezwin|Christian Erickson,6.8,4,17,81%,Bent Hamer,Drama,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"May8,2015 limited","Oct 5, 2015",NR,0,0,1,0,0,0,93 minutes,Kino Lorber,Bent Hamer
3,11-11-11,2,17%,"$53,025",Timothy Gibbs|Wendy Glenn|Michael Landes|Denis Rafter|Llus Soler|Salom Jimnez|Brendan Price|Benjamin Cook|Angela Rosal|Lolo Herrero,3.7,13,1,7%,Darren Lynn Bousman,"Drama,Horror",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,"May8,2015 limited","Nov 21, 2011","PG-13 (for violence/terror, some disturbing images and thematic material)",0,0,0,0,1,0,95 minutes,Rocket Releasing,Darren Lynn Bousman
4,"2 Autumns, 3 Winters",3.4,50%,"$53,025",Vincent Macaigne|Maud Wyler|Bastien Bouillon|Audrey Bastien|Thomas Blanchard|Pauline Etienne|Olivier Chantreau|Eriko Takeda|Jean-Quentin Chtelain,6.8,2,7,78%,Sbastien Betbeder,"ArtHouse&International,Comedy,Drama",0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Jun6,2014 limited","Jun 16, 2014",NR,0,0,1,0,0,0,91 minutes,Film Movement,Sbastien Betbeder
5,2 Days in New York,3,42%,"$500,000",Chris Rock|Julie Delpy|Albert Delpy|Alexia Landeau|Alexandre Nahon|Dylan Baker|Kate Burton|Malinda Williams|Talen Riley|Alex Manette|Emily Wagner|Daniel Brhl,6.3,36,69,66%,Julie Delpy,"Comedy,Drama",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Aug10,2012 limited","Nov 13, 2012","R (for language, sexual content, some drug use and brief nudity)",0,0,0,0,0,1,91 minutes,Magnolia Pictures,"Julie Delpy, Alex Nahon"
6,28 Hotel Rooms,3,37%,"$16,017",Marin Ireland|Chris Messina,6.2,8,6,43%,Matt Ross,"Drama,Romance",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,"Nov9,2012 limited","Feb 11, 2013",NR,0,0,1,0,0,0,82 minutes,Oscilloscope Pictures,Matt Ross
7,3 Days To Kill,3.1,43%,"$16,017",Kevin Costner|Hailee Steinfeld|Amber Heard|Connie Nielsen|Eriq Ebounay,4.4,80,31,28%,McG,Mystery&Suspense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"Feb21,2014 wide","May 20, 2014","PG-13 (for intense sequences of violence and action, some sensuality and language)",0,0,0,0,1,0,100 minutes,Relativity Media,"Luc Besson, Adi Hasak"
8,3 Generations,3,43%,"$66,371",Elle Fanning|Naomi Watts|Susan Sarandon|Tate Donovan|Linda Emond|Maria Dizzia|Sam Trammell|Andrew Polk|Marcos Gonzalez|Ira Jackson|Antonio Ortiz|Marquis Rodriguez|Tessa Albertson|Carlos Jordan|Gameela Wright|Lucca De Oliveira|Francesca Keller|Jinn S. Kim|Elle Winter|Susan Blackwell|Maxwell Simkins|Matta Marie Conforti|Eva Kaminsky,5,28,13,32%,Gaby Dellal,"Comedy,Drama",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"May5,2017 limited","Jun 13, 2017","PG-13 (for mature thematic content, some sexual references and language)",0,0,0,0,1,0,87 minutes,The Weinstein Company,"Nikole Beckwith, Gaby Dellal"
9,3 Nights In The Desert,3.9,65%,"$1,279",Amber Tamblyn|Vincent Piazza|Wes Bentley,4.6,3,2,40%,Gabriel Cowan,Drama,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Feb6,2015 limited","Mar 31, 2015",R (for language and some sexual content),0,0,0,0,0,1,90 minutes,Monterey Media Inc.,Adam Chanzit
